 num     #instances         #bytes  class name (module)
 153:           854          20496  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@17.0.13)
 154:           848          20352  org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager
 155:           624          19968  io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache
 156:          1244          19904  org.springframework.core.ResolvableType$DefaultVariableResolver
 157:            97          19576  [Ljava.lang.invoke.MethodHandle; (java.base@17.0.13)
 158:           603          19296  java.util.LinkedList (java.base@17.0.13)
 159:           801          19224  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcome
 160:           801          19224  org.springframework.boot.autoconfigure.condition.ConditionOutcome
 161:           338          18928  sun.security.ssl.CipherSuite (java.base@17.0.13)
 162:           568          18176  org.apache.kafka.common.metrics.stats.WindowedCount
 163:           131          17816  sun.nio.fs.UnixFileAttributes (java.base@17.0.13)
 164:           444          17760  java.util.WeakHashMap$Entry (java.base@17.0.13)
 165:           734          17616  java.lang.module.ModuleDescriptor$Exports (java.base@17.0.13)
 166:          1097          17552  java.util.concurrent.atomic.AtomicInteger (java.base@17.0.13)
 167:           933          17408  [Lsun.reflect.generics.tree.FormalTypeParameter; (java.base@17.0.13)
 168:           355          17240  [Ljava.lang.invoke.LambdaForm$Name; (java.base@17.0.13)
 169:           795          17112  [Lsun.reflect.generics.tree.FieldTypeSignature; (java.base@17.0.13)
 170:           640          17104  [Lorg.springframework.core.annotation.AnnotationTypeMappings;
 171:           710          17040  java.util.Arrays$ArrayList (java.base@17.0.13)
 172:           705          16920  sun.reflect.generics.scope.ClassScope (java.base@17.0.13)
 173:           350          16800  java.lang.invoke.LambdaForm (java.base@17.0.13)
 174:           623          16632  [Lorg.springframework.core.annotation.MergedAnnotation;
 175:           692          16608  org.springframework.beans.factory.config.BeanDefinitionHolder
 176:           688          16512  sun.reflect.generics.tree.ClassSignature (java.base@17.0.13)
